Connection Count,Handshake Duration (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
4917,0.003380060195923,1661038429.45929,242,1661038429.46097,242,1661038429.46108,90,1661038429.46267,90
4918,0.041337966918945,1661038429.81046,242,1661038429.81208,242,1661038429.81218,90,1661038429.8518,90
4919,0.0244619846344,1661038430.67454,242,1661038430.6762,242,1661038430.67631,90,1661038430.699,90
4920,0.00452995300293,1661038431.53663,242,1661038431.53843,242,1661038431.53856,90,1661038431.54116,90
4921,0.030129194259644,1661038432.39797,242,1661038432.39979,242,1661038432.39992,90,1661038432.4281,90
4922,0.019857168197632,1661038433.27187,242,1661038433.2734,242,1661038433.27355,90,1661038433.29173,114
4923,0.045204162597656,1661038434.1367,242,1661038434.13847,242,1661038434.13863,90,1661038434.1819,114
4924,0.029724836349487,1661038434.98466,242,1661038434.98663,242,1661038434.98686,90,1661038435.01438,90
4925,0.033629179000855,1661038435.34747,242,1661038435.3492,242,1661038435.34937,90,1661038435.3811,90
4926,0.003303050994873,1661038436.21122,242,1661038436.213,242,1661038436.21317,90,1661038436.21452,90
4927,0.034615993499756,1661038437.07692,242,1661038437.07849,242,1661038437.07867,90,1661038437.11154,90
4928,0.021988153457642,1661038437.94999,242,1661038437.95165,242,1661038437.95184,90,1661038437.97198,90
4929,0.022531032562256,1661038438.81947,242,1661038438.82127,242,1661038438.82156,90,1661038438.842,90
4930,0.018093109130859,1661038439.88313,242,1661038439.88488,242,1661038439.88506,90,1661038439.90123,90
4931,0.043519020080567,1661038440.53838,242,1661038440.54,242,1661038440.54018,90,1661038440.5819,90
4932,0.012779951095581,1661038441.06646,242,1661038441.0683,242,1661038441.06846,90,1661038441.07924,90
4933,0.022027969360352,1661038441.93087,242,1661038441.93253,242,1661038441.93261,90,1661038441.9529,90
4934,0.03066086769104,1661038442.82483,242,1661038442.82641,242,1661038442.82652,114,1661038442.85549,90
4935,0.011843919754028,1661038443.72301,242,1661038443.72464,242,1661038443.72477,114,1661038443.73485,90
4936,0.052677869796753,1661038444.60666,242,1661038444.60843,242,1661038444.60858,90,1661038444.65934,90
4937,0.02199387550354,1661038445.50851,242,1661038445.51024,242,1661038445.51041,90,1661038445.5305,90
4938,0.037511110305786,1661038446.4055,242,1661038446.40737,242,1661038446.40754,90,1661038446.44301,114
4939,0.020750999450684,1661038447.28293,242,1661038447.28448,242,1661038447.28464,90,1661038447.30368,90
4940,0.080448865890503,1661038448.14701,242,1661038448.1486,242,1661038448.14887,90,1661038448.22746,90
4941,0.050487995147705,1661038449.0147,242,1661038449.01627,242,1661038449.01642,90,1661038449.06519,90
4942,0.129469156265259,1661038449.88625,242,1661038449.88784,242,1661038449.88797,90,1661038450.01572,90
4943,0.050634145736694,1661038450.77092,242,1661038450.77245,242,1661038450.77266,90,1661038450.82155,90
4944,0.021540880203247,1661038451.63719,242,1661038451.63875,242,1661038451.63894,90,1661038451.65873,90
4945,0.003443002700806,1661038452.50974,242,1661038452.51127,242,1661038452.51141,90,1661038452.51318,90
4946,0.050761938095093,1661038453.37494,242,1661038453.37656,242,1661038453.37674,90,1661038453.4257,90
4947,0.035229206085205,1661038454.24277,242,1661038454.24437,242,1661038454.24457,90,1661038454.278,90
4948,0.022851943969727,1661038455.10491,242,1661038455.10638,242,1661038455.10655,90,1661038455.12777,90
4949,0.040400981903076,1661038455.96786,242,1661038455.96956,242,1661038455.96978,90,1661038456.00827,90
4950,0.022266864776611,1661038456.83269,242,1661038456.8342,242,1661038456.83437,90,1661038456.85496,114
4951,0.002868890762329,1661038457.69768,242,1661038457.69938,242,1661038457.69961,90,1661038457.70055,90
4952,0.012363910675049,1661038458.56283,242,1661038458.56463,242,1661038458.56484,90,1661038458.5752,90
4953,0.022027015686035,1661038459.43406,242,1661038459.43573,242,1661038459.43591,114,1661038459.45609,114
4954,0.019495010375977,1661038460.3119,242,1661038460.3136,242,1661038460.31375,90,1661038460.33139,90
4955,0.032048940658569,1661038461.20039,242,1661038461.20206,242,1661038461.20219,90,1661038461.23244,114
4956,0.03604793548584,1661038462.07273,242,1661038462.07433,242,1661038462.07459,90,1661038462.10878,90
4957,0.010131120681763,1661038462.71631,242,1661038462.71786,242,1661038462.71808,90,1661038462.72644,90
4958,0.022442102432251,1661038463.28137,242,1661038463.28287,242,1661038463.28303,114,1661038463.30382,90
4959,0.003058910369873,1661038464.15073,242,1661038464.15251,242,1661038464.15269,90,1661038464.15379,114
4960,0.037922859191895,1661038465.02179,242,1661038465.02347,242,1661038465.02369,90,1661038465.05971,90
4961,0.027781963348389,1661038465.91942,242,1661038465.92125,242,1661038465.92144,90,1661038465.9472,90
4962,0.047428131103516,1661038466.78745,242,1661038466.78935,242,1661038466.78958,90,1661038466.83488,90
4963,0.017079114913941,1661038467.6439,242,1661038467.64558,242,1661038467.64575,90,1661038467.66098,90
4964,0.028949975967407,1661038468.2793,242,1661038468.28097,242,1661038468.28115,90,1661038468.30825,90
4965,0.020067930221558,1661038468.82897,242,1661038468.83081,242,1661038468.83104,90,1661038468.84904,90
4966,0.052975177764893,1661038469.69963,242,1661038469.70151,242,1661038469.70173,90,1661038469.75261,90
4967,0.031428098678589,1661038470.59282,242,1661038470.59439,242,1661038470.59452,90,1661038470.62425,90
4968,0.080222129821777,1661038471.45203,242,1661038471.45375,242,1661038471.45391,90,1661038471.53225,90
4969,0.015142917633057,1661038472.32021,242,1661038472.32193,242,1661038472.3221,90,1661038472.33535,90
4970,0.015805006027222,1661038473.18281,242,1661038473.18439,242,1661038473.18458,90,1661038473.19861,90
4971,0.062916994094849,1661038473.8003,242,1661038473.80134,242,1661038473.80147,90,1661038473.86322,90
4972,0.110706090927124,1661038474.39085,242,1661038474.3918,242,1661038474.39193,90,1661038474.50155,114
4973,0.030071973800659,1661038475.26895,242,1661038475.27076,242,1661038475.27095,90,1661038475.29902,90
4974,0.005607128143311,1661038476.14132,242,1661038476.14309,242,1661038476.14324,90,1661038476.14693,90
4975,0.008075952529907,1661038477.01504,242,1661038477.01665,242,1661038477.01686,90,1661038477.02311,90
4976,0.02646803855896,1661038477.88126,242,1661038477.88299,242,1661038477.88318,90,1661038477.90773,90
4977,0.03104305267334,1661038478.76713,242,1661038478.76862,242,1661038478.76873,90,1661038478.79818,90
4978,0.028503894805908,1661038479.6587,242,1661038479.66031,242,1661038479.66047,90,1661038479.6872,90
4979,0.04603385925293,1661038480.53892,242,1661038480.54064,242,1661038480.54083,90,1661038480.58495,114
4980,0.053135871887207,1661038481.40391,242,1661038481.40565,242,1661038481.40582,90,1661038481.45705,114
4981,0.048150062561035,1661038482.27913,242,1661038482.28027,242,1661038482.28034,90,1661038482.32728,114
4982,0.022362232208252,1661038483.1451,242,1661038483.14689,242,1661038483.14707,90,1661038483.16747,90
4983,0.016791105270386,1661038484.01784,242,1661038484.0197,242,1661038484.01987,90,1661038484.03463,90
4984,0.022069931030274,1661038486.07651,242,1661038486.07757,242,1661038486.07767,90,1661038486.09858,90
4985,0.026113986968994,1661038486.94878,242,1661038486.9501,242,1661038486.95021,90,1661038486.97489,90
4986,0.022395133972168,1661038487.83231,242,1661038487.83395,242,1661038487.83408,90,1661038487.85471,90
4987,0.012874841690064,1661038488.70307,242,1661038488.70505,242,1661038488.70519,90,1661038488.71594,90
4988,0.008313894271851,1661038489.57123,242,1661038489.57332,242,1661038489.57346,90,1661038489.57955,90
4989,0.02642297744751,1661038490.37089,242,1661038490.37255,242,1661038490.37275,90,1661038490.39731,90
4990,0.022125959396362,1661038490.75622,242,1661038490.7581,242,1661038490.75829,90,1661038490.77834,114
4991,0.021246910095215,1661038491.62438,242,1661038491.62615,242,1661038491.62629,90,1661038491.64562,90
4992,0.050359964370728,1661038492.48698,242,1661038492.48877,242,1661038492.48895,90,1661038492.53734,114
4993,0.042776107788086,1661038493.35174,242,1661038493.35373,242,1661038493.35401,90,1661038493.39452,114
4994,0.010051965713501,1661038494.21425,242,1661038494.21591,242,1661038494.21599,90,1661038494.2243,90
4995,0.004801988601685,1661038495.08221,242,1661038495.0842,242,1661038495.08435,90,1661038495.08702,90
4996,0.018101930618286,1661038495.90159,242,1661038495.90347,242,1661038495.90362,90,1661038495.91969,90
4997,0.048636913299561,1661038496.27453,242,1661038496.27624,242,1661038496.2764,90,1661038496.32317,114
4998,0.016200065612793,1661038497.25276,242,1661038497.25459,242,1661038497.25484,90,1661038497.26896,90
4999,0.014263868331909,1661038498.11899,242,1661038498.12055,242,1661038498.12072,90,1661038498.13326,90
5000,0.02004885673523,1661038498.99604,242,1661038498.99791,242,1661038498.9981,90,1661038499.01609,90
5001,0.019407987594605,1661038499.87639,242,1661038499.87796,242,1661038499.8781,90,1661038499.8958,90
5002,0.019142866134644,1661038500.75837,242,1661038500.75943,242,1661038500.75958,90,1661038500.77751,90
5003,0.026289939880371,1661038501.64289,242,1661038501.64438,242,1661038501.64452,90,1661038501.66918,90
5004,0.038224935531616,1661038502.51711,242,1661038502.51848,242,1661038502.51868,90,1661038502.55534,90
