Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
8905,0.041766881942749,1661153058.80524,1661153058.76348,168,1661153058.7643,168,1661153058.76444,90,1661153058.80524,114
8906,0.022847890853882,1661153064.33572,1661153064.31288,168,1661153064.31357,168,1661153064.3138,90,1661153064.33572,114
8907,0.040325880050659,1661153069.86082,1661153069.82049,168,1661153069.82089,168,1661153069.82113,90,1661153069.86082,114
8908,0.050729990005493,1661153075.39147,1661153075.34074,168,1661153075.3413,168,1661153075.34159,90,1661153075.39147,90
8909,0.049057006835938,1661153080.90794,1661153080.85888,168,1661153080.8593,168,1661153080.85944,90,1661153080.90794,114
8910,0.005064010620117,1661153086.37547,1661153086.37041,168,1661153086.37093,168,1661153086.37113,90,1661153086.37547,114
8911,0.039994955062866,1661153091.92063,1661153091.88064,168,1661153091.88203,168,1661153091.88225,90,1661153091.92063,114
8912,0.021777153015137,1661153097.41026,1661153097.38848,168,1661153097.38958,168,1661153097.38985,90,1661153097.41026,90
8913,0.008331060409546,1661153102.91431,1661153102.90597,168,1661153102.90638,168,1661153102.90682,90,1661153102.91431,114
8914,0.013875961303711,1661153108.4479,1661153108.43403,168,1661153108.43449,168,1661153108.43471,90,1661153108.4479,114
8915,0.042808771133423,1661153113.99275,1661153113.94994,168,1661153113.95156,168,1661153113.95191,90,1661153113.99275,114
8916,0.003483057022095,1661153119.47451,1661153119.47103,168,1661153119.47155,168,1661153119.47169,90,1661153119.47451,90
8917,0.051439046859741,1661153125.06279,1661153125.01135,168,1661153125.01176,168,1661153125.01197,90,1661153125.06279,90
8918,0.012543916702271,1661153130.54487,1661153130.53233,168,1661153130.53264,168,1661153130.53286,90,1661153130.54487,90
8919,0.001511812210083,1661153136.05127,1661153136.04976,168,1661153136.05041,168,1661153136.05084,90,1661153136.05127,90
8920,0.04477596282959,1661153141.62,1661153141.57522,168,1661153141.57577,168,1661153141.57595,90,1661153141.62,114
8921,0.040681123733521,1661153147.13703,1661153147.09635,168,1661153147.09671,168,1661153147.09689,90,1661153147.13703,90
8922,0.011837005615234,1661153152.66386,1661153152.65202,168,1661153152.65278,168,1661153152.65301,90,1661153152.66386,90
8923,0.039486885070801,1661153158.20961,1661153158.17012,168,1661153158.17055,168,1661153158.17076,90,1661153158.20961,90
8924,0.021696090698242,1661153163.76246,1661153163.74077,168,1661153163.74148,168,1661153163.74186,90,1661153163.76246,90
8925,0.044938087463379,1661153169.30923,1661153169.26429,168,1661153169.26483,168,1661153169.2652,90,1661153169.30923,90
8926,0.007997035980225,1661153174.80371,1661153174.79571,168,1661153174.79627,168,1661153174.79647,90,1661153174.80371,90
8927,0.049889087677002,1661153180.40335,1661153180.35346,168,1661153180.35393,168,1661153180.35417,90,1661153180.40335,90
8928,0.046726942062378,1661153185.95126,1661153185.90454,168,1661153185.90498,168,1661153185.90521,90,1661153185.95126,114
8929,0.044155836105347,1661153191.48401,1661153191.43986,168,1661153191.44049,168,1661153191.44066,90,1661153191.48401,90
8930,0.028800964355469,1661153197.0114,1661153196.9826,168,1661153196.98324,168,1661153196.98341,90,1661153197.0114,114
8931,0.013093948364258,1661153202.52755,1661153202.51446,168,1661153202.51496,168,1661153202.51512,90,1661153202.52755,114
